Classifier,Params,Mean Accuracy,Std Accuracy
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.7681720430107527,0.03663874950216875
XGBoost,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 200}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 500}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",0.7679569892473118,0.06040063567861181
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.7617204301075269,0.037831129479956316
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.7617204301075269,0.04816724246433575
XGBoost,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}",0.7617204301075269,0.04816724246433575
XGBoost,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 300}",0.7617204301075269,0.04816724246433575
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.761505376344086,0.057602302082694935
XGBoost,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300}",0.761505376344086,0.04928626904460462
XGBoost,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 300}",0.761505376344086,0.04928626904460462
XGBoost,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.7612903225806452,0.065480251325708
XGBoost,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 500}",0.7612903225806452,0.065480251325708
XGBoost,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",0.7550537634408603,0.03314480155731849
XGBoost,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 200}",0.7550537634408603,0.03314480155731849
XGBoost,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.7548387096774193,0.06222081824556141
XGBoost,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 100}",0.7548387096774193,0.06222081824556141
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.7479569892473118,0.06968073800672432
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.7410752688172043,0.07260859676830159
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.7283870967741934,0.03931780383275511
XGBoost,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.7283870967741934,0.03931780383275511
XGBoost,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 100}",0.7283870967741934,0.03931780383275511
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7148387096774194,0.06660559117010009
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 500}",0.7148387096774194,0.06986235910390486
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 15, 'n_estimators': 500}",0.7148387096774194,0.06986235910390486
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 200}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 300}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 500}",0.7081720430107528,0.07839174285978859
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 100}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 200}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 300}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 15, 'n_estimators': 100}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 15, 'n_estimators': 200}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 15, 'n_estimators': 300}",0.7081720430107528,0.06263420093186303
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7081720430107526,0.08901147749797773
XGBoost,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500}",0.7017204301075268,0.06760901791895649
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 100}",0.701505376344086,0.07140497438215605
XGBoost,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500}",0.6952688172043011,0.05371438622302646
XGBoost,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",0.6952688172043011,0.07146647822258123
XGBoost,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 500}",0.6952688172043011,0.05371438622302646
XGBoost,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 100}",0.6952688172043011,0.07146647822258123
XGBoost,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 500}",0.6952688172043011,0.05371438622302646
XGBoost,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 300}",0.6950537634408602,0.07222285368419307
XGBoost,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 300}",0.6886021505376345,0.062360400228888335
XGBoost,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 300}",0.6886021505376345,0.062360400228888335
XGBoost,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 300}",0.6886021505376345,0.062360400228888335
